channel,url,inc,avg,diff,time
destiny,https://clips.twitch.tv/BillowingBenevolentDragonflySpicyBoy-UeM5WFsaeZgM8nq3/edit,71,48.55,1.46,2022-03-04 04:59:02.724246
destiny,https://clips.twitch.tv/InexpensiveHelplessSalamanderNotLikeThis-vEoQb-3PkV0DST8r/edit,47,31.59,1.49,2022-03-04 05:00:18.622718
destiny,https://clips.twitch.tv/TenderPreciousCarabeefStoneLightning-3CnZYM33UbUXseZ-/edit,55,39.18,1.4,2022-03-04 05:01:56.569483
destiny,https://clips.twitch.tv/ArborealFriendlyGnatUnSane-eh_Nvt_S73eqAXHP/edit,69,49.0,1.41,2022-03-04 05:02:42.419174
destiny,https://clips.twitch.tv/CourageousDirtyWombatMrDestructoid-fV2ltYJJx-yZLV0m/edit,85,59.18,1.44,2022-03-04 05:03:03.339251
destiny,https://clips.twitch.tv/WildFrailDoveCoolCat-nH_UmTTwRMi62S-l/edit,48,33.94,1.41,2022-03-04 05:04:37.330338
destiny,https://clips.twitch.tv/SoftExquisiteWormDoggo-t68xagGyuwu4eINS/edit,87,55.92,1.56,2022-03-04 05:04:58.207104
destiny,https://clips.twitch.tv/AthleticRockyHumanKAPOW-k8sggldinZOG-js7/edit,54,37.82,1.43,2022-03-04 05:06:05.138631
destiny,https://clips.twitch.tv/SpineyShakingPigeonTwitchRaid-wWpjKXcC8zF79Xq6/edit,77,53.08,1.45,2022-03-04 05:06:26.007409
destiny,https://clips.twitch.tv/SmallPlayfulReubenHassaanChop-yjShyAfPYCaQMCmz/edit,66,46.59,1.42,2022-03-04 05:07:23.917265
destiny,https://clips.twitch.tv/StupidComfortableTildeGingerPower-6ByWNmdqzqE31HNz/edit,94,63.04,1.49,2022-03-04 05:07:44.771738
destiny,https://clips.twitch.tv/GrossPhilanthropicChoughWTRuck-ycET5PFFpwJDjhTF/edit,35,24.84,1.41,2022-03-04 05:09:29.683382
destiny,https://clips.twitch.tv/WanderingFragileLEDHassaanChop-osQAz9M8AA66RQVx/edit,46,30.86,1.49,2022-03-04 05:10:35.524346
destiny,https://clips.twitch.tv/DeliciousLovelyEggStinkyCheese-G2aWv34loqBub1eE/edit,76,51.61,1.47,2022-03-04 05:10:56.545706
destiny,https://clips.twitch.tv/OilyRichFriesSoonerLater-9F02r0NW3NByVYO7/edit,34,23.27,1.46,2022-03-04 05:14:33.785201
destiny,https://clips.twitch.tv/PluckyDeterminedManateeOSfrog-bfAVVQ-yp4i5i-uc/edit,47,30.98,1.52,2022-03-04 05:15:54.699009
destiny,https://clips.twitch.tv/RepleteBraveGarageOSsloth-I4WPsyFZcG-CHnZh/edit,72,50.86,1.42,2022-03-04 05:16:46.583989
destiny,https://clips.twitch.tv/FamousFuriousDiscDoubleRainbow-hwquxEnc0JPWRo1T/edit,54,38.53,1.4,2022-03-04 05:17:56.671819
destiny,https://clips.twitch.tv/TubularMuddyElkHassaanChop-OG3uvdE71gok5gT5/edit,46,31.41,1.46,2022-03-04 05:18:59.012044
destiny,https://clips.twitch.tv/FilthyFrigidChickpeaHumbleLife-qp29Q3U00mXhF9_i/edit,63,38.92,1.62,2022-03-04 05:22:39.817410
destiny,https://clips.twitch.tv/ObliqueSuccessfulGiraffeHassaanChop-Nq9n_eHiMbzfXr3E/edit,59,40.51,1.46,2022-03-04 05:24:59.956396
destiny,https://clips.twitch.tv/TangibleTangibleMosquitoKeepo-9ISY-oM67er7UU_V/edit,84,57.02,1.47,2022-03-04 05:25:39.702848
destiny,https://clips.twitch.tv/CogentArtsyWatermelonNerfBlueBlaster-9njyuAL6DNzQ_JxD/edit,100,68.16,1.47,2022-03-04 05:26:41.697920
destiny,https://clips.twitch.tv/ConcernedSullenBorkKlappa-NwnsnZt6ySfrpvv6/edit,92,60.88,1.51,2022-03-04 05:27:51.579503
destiny,https://clips.twitch.tv/HeadstrongHonorableGarlicThunBeast-YT4iluwaO3oYr3-O/edit,96,66.69,1.44,2022-03-04 05:29:46.331727
destiny,https://clips.twitch.tv/ColdbloodedAbrasiveTapirTBTacoRight-WDhNf5wXBzY8dJmk/edit,48,32.59,1.47,2022-03-04 05:33:00.086235
destiny,https://clips.twitch.tv/IronicAcceptableSwallowPeteZarollTie-BnomQUGaXK_Gdk_P/edit,61,41.06,1.49,2022-03-04 05:34:39.626918
destiny,https://clips.twitch.tv/NaiveAmazonianBeefKeyboardCat-qo1mPUUG_FEimy51/edit,53,36.29,1.46,2022-03-04 05:35:44.854843
destiny,https://clips.twitch.tv/HorribleArtisticBisonAMPEnergyCherry-NAo_SQSqpJfSyPMi/edit,53,35.49,1.49,2022-03-04 05:37:06.282927
destiny,https://clips.twitch.tv/FunnyRoughChowderUWot-RuCFylSXhIFbnrId/edit,40,27.94,1.43,2022-03-04 05:41:06.722836
destiny,https://clips.twitch.tv/PrettyAuspiciousSardineVoteYea-vWQ70kJttPCenQeh/edit,67,43.0,1.56,2022-03-04 05:41:28.641993
destiny,https://clips.twitch.tv/DependableAssiduousEndiveTakeNRG-Ha-U88YwnR7mxQ7e/edit,69,45.1,1.53,2022-03-04 05:43:31.109378
destiny,https://clips.twitch.tv/DeadSolidBillBudBlast-UaM71ixqMSjvlt3g/edit,47,32.86,1.43,2022-03-04 05:44:50.205726
destiny,https://clips.twitch.tv/GentleZealousDillFloof--UrAXmXwpy52MBXA/edit,62,39.39,1.57,2022-03-04 05:46:02.427605
destiny,https://clips.twitch.tv/PlumpSullenMouseNomNom-sDcvSx8MsjTCqi1i/edit,30,20.96,1.43,2022-03-04 05:48:58.164778
destiny,https://clips.twitch.tv/ShortAdventurousNuggetsPraiseIt-hkFv86ca49Hq5M1-/edit,54,38.41,1.41,2022-03-04 05:51:14.596714
destiny,https://clips.twitch.tv/AssiduousFitCodTheThing-3rHGIdgas0lovQZe/edit,29,18.71,1.55,2022-03-04 05:53:12.663905
destiny,https://clips.twitch.tv/AlertPoisedJackalLitty-RR2x40mY4e4eo03n/edit,30,20.67,1.45,2022-03-04 05:54:03.937994
destiny,https://clips.twitch.tv/PeppyHedonisticBeefMoreCowbell-9r3okGZL6Ta5BkOQ/edit,38,26.43,1.44,2022-03-04 05:55:32.218204
destiny,https://clips.twitch.tv/AmorphousObservantMosquitoMikeHogu-JwqIcpNQzsWWknkd/edit,59,36.12,1.63,2022-03-04 05:56:07.750281
destiny,https://clips.twitch.tv/CreativeDeliciousBoarPMSTwin-HF-H9rrQpIx2lH8_/edit,35,24.73,1.42,2022-03-04 05:59:09.602579
destiny,https://clips.twitch.tv/GentleWittySquidEagleEye-CITUFczPcw1Efb_I/edit,23,16.33,1.41,2022-03-04 06:00:50.033814
destiny,https://clips.twitch.tv/CarefulBusyAsparagusAsianGlow-SlfAwHOM-2RtuDX7/edit,35,24.78,1.41,2022-03-04 06:02:36.291273
destiny,https://clips.twitch.tv/ArtsyBrightNikudonChefFrank-W7nS5HTUJmkYVSSe/edit,26,18.0,1.44,2022-03-04 06:03:54.601661
destiny,https://clips.twitch.tv/PlayfulNiceOstrichRickroll-uuseHm_mLWrUFUjX/edit,43,29.98,1.43,2022-03-04 06:07:21.758105
destiny,https://clips.twitch.tv/SpineyHelpfulMouseSmoocherZ-6iPSIatO0-eB_lmX/edit,69,48.96,1.41,2022-03-04 06:08:53.410872
jonzherka,https://clips.twitch.tv/ZanyDistinctMartenImGlitch-9qtwLNUnse-FxGQP/edit,6,4.1,1.46,2022-03-04 06:39:06.976561
jonzherka,https://clips.twitch.tv/BelovedHorribleKoupreyFrankerZ-lQtQcZNnmpEYXfUF/edit,7,4.55,1.54,2022-03-04 06:39:35.968151
jonzherka,https://clips.twitch.tv/SmilingIntelligentCoffeeDeIlluminati-_Ef7IpQiuN5u00CW/edit,10,7.02,1.42,2022-03-04 06:40:17.968028
jonzherka,https://clips.twitch.tv/HelplessBumblingCoyoteNononoCat-NzclQYjfxere2Jw_/edit,12,7.08,1.69,2022-03-04 06:40:40.826192
jonzherka,https://clips.twitch.tv/BillowingPrettyCroissantRedCoat-1g_jJQEHeRzmknwJ/edit,21,13.82,1.52,2022-03-04 06:41:01.780969
jonzherka,https://clips.twitch.tv/ObservantVictoriousAirGuitarSSSsss-9RPj-7gSVqoPcoMK/edit,11,7.29,1.51,2022-03-04 06:42:05.639252
jonzherka,https://clips.twitch.tv/SleepyPoliteButterAMPEnergy-5Okhn5AI0dYYbNQx/edit,17,11.02,1.54,2022-03-04 06:42:31.470323
jonzherka,https://clips.twitch.tv/OutstandingAthleticHornetDatSheffy-fnTsWEGW4lLQBdSU/edit,21,14.31,1.47,2022-03-04 06:44:06.358268
jonzherka,https://clips.twitch.tv/ZanyFreezingMomTBCheesePull-fpEYkSvesDOFm5iz/edit,16,10.84,1.48,2022-03-04 06:45:14.267865
jonzherka,https://clips.twitch.tv/ObeseEncouragingJackalCharlietheUnicorn-cTmxz3VOVmU54Bfv/edit,23,16.08,1.43,2022-03-04 06:45:48.336663
jonzherka,https://clips.twitch.tv/MagnificentDeterminedGarageYouDontSay-DKiJk8Xo4USEc96W/edit,15,10.1,1.48,2022-03-04 06:47:32.404331
jonzherka,https://clips.twitch.tv/BlueProudMeerkatJKanStyle-IEsSJmWZqUx3o4qR/edit,12,8.1,1.48,2022-03-04 06:48:59.348240
jonzherka,https://clips.twitch.tv/BitterObesePresidentBudStar-yWILfHK2l0lTWAZK/edit,15,9.84,1.52,2022-03-04 06:49:52.280612
jonzherka,https://clips.twitch.tv/ManlyWrongAppleBrainSlug-1r4XwbrMtcX5QbxH/edit,16,11.04,1.45,2022-03-04 06:51:18.145388
jonzherka,https://clips.twitch.tv/VibrantHelpfulRadishM4xHeh-uPdOTyKJL6vZsfxj/edit,24,15.55,1.54,2022-03-04 06:51:39.212307
jonzherka,https://clips.twitch.tv/SpicyProductiveSharkPrimeMe-32FBYZhdivd0879j/edit,10,7.02,1.42,2022-03-04 06:53:54.144532
